"id","category","width","height","format","aspect_ratio","size","url"
"1","animal","1300.0","1600.0","JPEG","0.81","1477202.0","https://prosperwell.com/wp-content/uploads/2018/08/Camel-1.jpg"
"2","animal","1200.0","1200.0","JPEG","1.0","1261560.0","https://jennifertarheelreader.files.wordpress.com/2019/04/20190420_164538.jpg?w=1200&"
"3","animal","1600.0","1067.0","JPEG","1.5","652773.0","http://lanting.com/wp-content/uploads/Lanting_Emperor-_Penguin_Huddle_003228-01.jpg"
"4","animal","2048.0","1365.0","JPEG","1.5","1062919.0","https://drscdn.500px.org/photo/41458556/m%3D2048_k%3D1_a%3D1/v2?sig=3385e08a3cc899eee66ae14e16e76da0a6eec168e5a856c01da91756f23e72a2"
"5","animal","1920.0","1440.0","JPEG","1.33","440027.0","https://images7.alphacoders.com/755/thumb-1920-755452.jpg"
"6","animal","1500.0","1125.0","JPEG","1.33","1617596.0","https://images.squarespace-cdn.com/content/v1/545d2666e4b04d921d5c4f19/1416456450808-9B220RMO7G3X5IT4GJX1/ke17ZwdGBToddI8pDm48kF9aEDQaTpZHfWEO2zppK7Z7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UX7HUUwySjcPdRBGehEKrDf5zebfiuf9u6oCHzr2lsfYZD7bBzAwq_2wCJyqgJebgg/2014++ranch+hunts+058.JPG"
"7","animal","1800.0","1350.0","JPEG","1.33","974719.0","https://cdn.download.ams.birds.cornell.edu/api/v1/asset/60394901/1800"
"8","animal","1920.0","1200.0","JPEG","1.6","941988.0","https://eskipaper.com/images/leopard-backgrounds-1.jpg"
"9","animal","1634.0","1167.0","JPEG","1.4","345827.0","http://www.tamrawight.com/wp-content/uploads/2013/09/Great-Blue-Heron-226.jpg"
"10","animal","1600.0","1067.0","JPEG","1.5","725563.0","https://i2.wp.com/dannybach.com/wp-content/uploads/2019/01/BearBileFarmMicroChipping_byDannyBach_22.jpg?fit=1600%2C1067"
"11","animal","1200.0","1200.0","JPEG","1.0","402073.0","https://cdn.shopify.com/s/files/1/1231/4416/products/Bald_Eagle_2.jpg?v=1567460362"
"12","animal","1080.0","1920.0","JPEG","0.56","439360.0","https://www.itl.cat/pngfile/big/152-1522247_apple-iphone-7-plus-lion-king-of-the.jpg"
"13","animal","1600.0","1066.0","JPEG","1.5","112261.0","https://www.sundestinations.co.za/blog/wp-content/uploads/2018/07/HyenaWalkersBushVilla10.jpg"
